animal_id,breed,intake_type,intake_subtype,intake_date,intake_time,intake_condition,outcome,outcome_date,outcome_time,impound_num
A0112905,LABRADOR RETR,DISPOS REQ,OTC,03/01/2023,12:23:00,DECEASED,DISPOSAL,03/01/2023,12:36:00,K23-578606
A0428613,MIXED BREED,STRAY,AT LARGE,01/15/2023,11:40:00,APP WNL,RETURNED TO OWNER,01/16/2023,18:01:00,K23-575038
A0428613,MIXED BREED,OWNER SURRENDER,APPOINT,07/05/2023,16:46:00,APP WNL,ADOPTION,07/05/2023,19:15:00,K23-593168
A0499062,POODLE MIN,STRAY,AT LARGE,03/09/2023,02:11:00,APP WNL,TRANSFER,03/15/2023,13:07:00,K23-579268
A0520592,SCHNAUZER MIN,TRANSFER,STRAY,11/08/2022,13:43:00,APP WNL,TRANSFER,11/19/2022,12:58:00,K22-569686
A0539050,HUSKY,STRAY,AT LARGE,12/16/2022,11:54:00,APP WNL,EUTHANIZED,12/16/2022,15:05:00,K22-572616
A0548440,SHEPHERD MIX,OWNER SURRENDER,URGENT,07/27/2023,10:35:00,CRITICAL,EUTHANIZED,07/29/2023,15:16:00,K23-595332
A0558886,CHIHUAHUA SH,OWNER SURRENDER,URGENT,01/14/2023,14:25:00,APP INJ,EUTHANIZED,01/14/2023,15:28:00,K23-574978
A0562642,MIXED BREED,OWNER SURRENDER,URGENT,01/16/2023,09:35:00,CRITICAL,EUTHANIZED,01/16/2023,10:42:00,K23-575096
A0565722,MIXED BREED,OWNER SURRENDER,APPOINT,09/07/2023,15:22:00,APP WNL,TRANSFER,09/08/2023,17:45:00,K23-599487
A0566715,CHIHUAHUA SH,OWNER SURRENDER,URGENT,10/19/2022,09:46:00,APP SICK,EUTHANIZED,10/19/2022,10:23:00,K22-568008
A0607236,PIT BULL,STRAY,AT LARGE,04/11/2023,16:25:00,APP SICK,RETURNED TO OWNER,04/11/2023,23:47:00,K23-585200
A0616660,BOXER,STRAY,AT LARGE,09/04/2023,12:03:00,APP SICK,EUTHANIZED,09/04/2023,13:06:00,K23-599188
A0620626,MIXED BREED,OWNER SURRENDER,APPOINT,10/31/2022,17:54:00,APP WNL,ADOPTION,11/01/2022,16:35:00,K22-569009
A0623533,LABRADOR RETR,OWNER SURRENDER,QUARANTINE,06/05/2023,14:04:00,CRITICAL,EUTHANIZED,06/05/2023,15:13:00,K23-589957
A0632406,DACHSHUND,STRAY,AT LARGE,06/12/2023,18:18:00,APP WNL,TRANSFER,06/16/2023,17:58:00,K23-590739
A0633069,PIT BULL,STRAY,AT LARGE,02/15/2023,13:26:00,CRITICAL,EUTHANIZED,02/15/2023,17:42:00,K23-577415
A0647559,CHIHUAHUA SH,OWNER SURRENDER,WALK IN,11/14/2022,12:32:00,APP SICK,EUTHANIZED,11/14/2022,13:17:00,K22-570170
A0655419,PIT BULL,OWNER SURRENDER,PICK UP,09/21/2023,18:12:00,APP SICK,EUTHANIZED,09/22/2023,14:31:00,K23-600879
A0655797,CHIHUAHUA SH,OWNER SURRENDER,URGENT,04/07/2023,20:44:00,CRITICAL,EUTHANIZED,04/07/2023,23:51:00,K23-584623
A0674353,MIXED BREED,CONFISCATED,SAC,11/02/2022,15:02:00,APP INJ,TRANSFER,12/09/2022,11:35:00,K22-569192
A0683148,POMERANIAN,STRAY,AT LARGE,02/15/2023,11:59:00,APP WNL,TRANSFER,02/21/2023,17:00:00,K23-577397
A0686498,PIT BULL,STRAY,AT LARGE,01/01/2023,12:33:00,APP WNL,RETURNED TO OWNER,01/01/2023,17:45:00,K23-573870
A0686498,PIT BULL,STRAY,AT LARGE,07/04/2023,15:45:00,APP WNL,RETURNED TO OWNER,07/06/2023,19:02:00,K23-593055
A0690640,TERRIER,OWNER SURRENDER,URGENT,11/02/2022,10:39:00,CRITICAL,EUTHANIZED,11/02/2022,11:05:00,K22-569153
A0702715,LABRADOR RETR,STRAY,AT LARGE,05/31/2023,11:00:00,APP SICK,EUTHANIZED,06/06/2023,11:32:00,K23-589357
A0705362,CHINESE SHARPEI,STRAY,AT LARGE,09/01/2023,14:08:00,APP INJ,ADOPTION,09/08/2023,15:15:00,K23-598940
A0709968,PIT BULL,OWNER SURRENDER,APPOINT,07/15/2023,12:11:00,APP WNL,TRANSFER,07/19/2023,13:27:00,K23-594190
A0712803,GERM SHEPHERD,CONFISCATED,QUARANTINE,10/28/2022,16:58:00,APP WNL,EUTHANIZED,11/11/2022,15:40:00,K22-568748
A0712879,LABRADOR RETR,OWNER SURRENDER,URGENT,10/03/2022,15:58:00,APP INJ,EUTHANIZED,10/03/2022,16:26:00,K22-566783
A0715759,GREAT PYRENEES,TRANSFER,STRAY,12/14/2022,11:10:00,APP WNL,TRANSFER,12/29/2022,13:13:00,K22-572463
A0716048,PIT BULL,STRAY,CONFINED,06/03/2023,21:01:00,APP WNL,RETURNED TO OWNER,06/03/2023,22:27:00,K23-589774
A0716048,PIT BULL,STRAY,AT LARGE,04/23/2023,20:47:00,APP WNL,RETURNED TO OWNER,04/23/2023,20:54:00,K23-586505
A0716376,POODLE MIN,STRAY,AT LARGE,12/15/2022,17:29:00,APP WNL,RETURNED TO OWNER,12/15/2022,17:53:00,K22-572574
A0716734,MIXED BREED,OWNER SURRENDER,APPOINT,06/10/2023,12:03:00,APP WNL,TRANSFER,06/26/2023,13:06:00,K23-590476
A0717783,GERM SHEPHERD,STRAY,AT LARGE,12/10/2022,18:11:00,APP WNL,FOSTER,01/05/2023,18:55:00,K22-572213
A0717783,GERM SHEPHERD,FOSTER,APPOINT,01/17/2023,13:05:00,APP WNL,ADOPTION,01/17/2023,13:24:00,K23-575193
A0724809,BOXER,STRAY,AT LARGE,08/09/2023,16:06:00,APP SICK,ADOPTION,08/16/2023,15:40:00,K23-596610
A0725611,CHIHUAHUA SH,OWNER SURRENDER,URGENT,04/10/2023,14:47:00,APP SICK,TRANSFER,04/16/2023,11:05:00,K23-584836
A0725954,ROTTWEILER,DISPOS REQ,FIELD,08/18/2023,09:03:00,DECEASED,DISPOSAL,08/18/2023,09:06:00,K23-597332
A0727611,GREAT PYRENEES,STRAY,AT LARGE,03/02/2023,18:31:00,APP WNL,RETURNED TO OWNER,03/03/2023,16:04:00,K23-578740
A0727611,GREAT PYRENEES,STRAY,AT LARGE,12/23/2022,16:22:00,APP INJ,RETURNED TO OWNER,12/23/2022,17:33:00,K22-573234
A0729567,CHIHUAHUA SH,OWNER SURRENDER,APPOINT,08/22/2023,14:57:00,APP WNL,ADOPTION,08/25/2023,12:04:00,K23-597725
A0729642,LABRADOR RETR,STRAY,AT LARGE,01/06/2023,15:32:00,APP INJ,EUTHANIZED,01/11/2023,17:24:00,K23-574396
A0730526,DACHSHUND,CONFISCATED,QUARANTINE,12/27/2022,19:16:00,DECEASED,DISPOSAL,12/27/2022,19:16:00,K22-573498
A0733983,PARSON RUSS TER,STRAY,AT LARGE,01/27/2023,17:32:00,APP SICK,ADOPTION,02/05/2023,14:12:00,K23-576018
A0734663,GERM SHEPHERD,TRANSFER,STRAY,05/03/2023,14:30:00,APP SICK,TRANSFER,06/08/2023,19:17:00,K23-587986
A0736063,DACHSHUND,STRAY,CONFINED,07/15/2023,17:06:00,APP WNL,TRANSFER,07/27/2023,15:36:00,K23-594252
A0738395,GERM SHEPHERD,STRAY,AT LARGE,03/13/2023,16:57:00,APP SICK,EUTHANIZED,03/14/2023,10:55:00,K23-579680
A0741378,ST BERNARD SMTH,STRAY,AT LARGE,05/19/2023,09:44:00,APP WNL,RETURNED TO OWNER,05/19/2023,10:19:00,K23-587924
A0750235,GERM SHEPHERD,CONFISCATED,QUARANTINE,05/21/2023,21:46:00,APP WNL,EUTHANIZED,06/06/2023,12:56:00,K23-588207
A0751732,POODLE STND,STRAY,AT LARGE,07/17/2023,18:30:00,APP WNL,TRANSFER,07/27/2023,14:25:00,K23-594506
